id,region,rule,clientMCC,excludeClientMCC,direction,parentTypeId,excludeParentTypeId,priority,keyword,initiationMode,isCashback,channel,isOverdraftProtection,isBankSpecialSavings,isRej,isTermDepositRedemption,isReversal,deviceId,hasInstallments,transactionPurpose,keywordMccCharge,keywordMccNonCharge,activityClass
UNI_1__D_TRANSFER__FRESH MARKET,UNI,1,,,D,TRANSFER,,,FRESH MARKET,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FRESH MKT,UNI,1,,,D,TRANSFER,,,FRESH MKT,,,,,,,,,,,,5411,5411,
UNI_2__D_TRANSFER__FRIED,UNI,2,,,D,TRANSFER,,,FRIED,,,,,,,,,,,,5812,5812,
CAN_1__D_TRANSFER__FRIPERIE,CAN,1,,,D,TRANSFER,,,FRIPERIE,,,,,,,,,,,,5931,5931,
UNI_1__D_TRANSFER__FROMAGE,UNI,1,,,D,TRANSFER,,,FROMAGE,,,,,,,,,,,,5451,5451,
UNI_1__D_TRANSFER__FROUTAGORA,UNI,1,,,D,TRANSFER,,,FROUTAGORA,,,,,,,,,,,,5499,5499,
UNI_1__D_TRANSFER__FROUTARIA,UNI,1,,,D,TRANSFER,,,FROUTARIA,,,,,,,,,,,,5499,5499,
UNI_1__D_TRANSFER__FRUIT,UNI,1,,,D,TRANSFER,,,FRUIT,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FRUITS,UNI,1,,,D,TRANSFER,,,FRUITS,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FRUKT,UNI,1,,,D,TRANSFER,,,FRUKT,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FUEL,UNI,1,,,D,TRANSFER,,,FUEL,,,,,,,,,,,,5542,5542,
UNI_1__D_TRANSFER__FURNITURE,UNI,1,,,D,TRANSFER,,,FURNITURE,,,,,,,,,,,,5712,5712,
UNI_1__D_TRANSFER__GADGET,UNI,1,,,D,TRANSFER,,,GADGET,,,,,,,,,,,,5732,5732,
UNI_1__D_TRANSFER__GADGETS,UNI,1,,,D,TRANSFER,,,GADGETS,,,,,,,,,,,,5732,5732,
UNI_1__D_TRANSFER__GARAGE,UNI,1,,,D,TRANSFER,,,GARAGE,,,,,,,,,,,,85,85,
UNI_2__D_TRANSFER__GAS,UNI,2,,,D,TRANSFER,,,GAS,,,,,,,,,,,,5541,5541,
UNI_1__D_TRANSFER__GASTROBAR,UNI,1,,,D,TRANSFER,,,GASTROBAR,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__GASTRONOMIA,UNI,1,,,D,TRANSFER,,,GASTRONOMIA,,,,,,,,,,,,5812,5812,
ISR_1__D_TRANSFER__GELATERIA,ISR,1,,,D,TRANSFER,,,GELATERIA,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__GELATISSIMO,UNI,1,,,D,TRANSFER,,,GELATISSIMO,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__GELATO,UNI,1,,,D,TRANSFER,,,GELATO,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__GENERAL STORE,UNI,1,,,D,TRANSFER,,,GENERAL STORE,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__GIFT SHOP,UNI,1,,,D,TRANSFER,,,GIFT SHOP,,,,,,,,,,,,5947,5947,
UNI_1__D_TRANSFER__GIFTS,UNI,1,,,D,TRANSFER,,,GIFTS,,,,,,,,,,,,5947,5947,
UNI_1__D_TRANSFER__GOLDSMITH,UNI,1,,,D,TRANSFER,,,GOLDSMITH,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__GOLDSMITHS,UNI,1,,,D,TRANSFER,,,GOLDSMITHS,,,,,,,,,,,,5944,5944,
UNI_1__D_TRANSFER__GOODS,UNI,1,,,D,TRANSFER,,,GOODS,,,,,,,,,,,,53,53,
UNI_1__D_TRANSFER__GOURMET,UNI,1,,,D,TRANSFER,,,GOURMET,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__GOURMET REST,UNI,1,,,D,TRANSFER,,,GOURMET REST,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__GREENS,UNI,2,,,D,TRANSFER,,,GREENS,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__GRIL,UNI,2,,,D,TRANSFER,,,GRIL,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__GRILL,UNI,2,,,D,TRANSFER,,,GRILL,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__GRILLED,UNI,1,,,D,TRANSFER,,,GRILLED,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__GROCE,UNI,1,,,D,TRANSFER,,,GROCE,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__GROCER,UNI,1,,,D,TRANSFER,,,GROCER,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__GROCERS,UNI,1,,,D,TRANSFER,,,GROCERS,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__GROCERY,UNI,1,,,D,TRANSFER,,,GROCERY,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__GYMBOREE,UNI,1,,,D,TRANSFER,,,GYMBOREE,,,,,,,,,,,,7032,7032,
